distance,cancers
0,5
0,3
0,4
5,3
5,2
10,1
10,2
15,1
15,0
19,1
29,0
29,1
29,1
29,1
30,0
31,0
31,2
31,0
35,0
37,1
37,1
38,0
38,0
38,1
38,1
39,1
39,1
39,0
39,0
39,0
39,1
46,0
46,3
46,0
46,0
47,1
47,1
50,0
50,1
50,0
50,0
51,1
55,0
55,0
55,0
55,0
56,0
56,0
56,0
56,0
56,0
56,1
56,0
56,0
57,1
57,0
57,0
57,1
58,1
58,0
58,0
59,0
59,0
59,0
59,0
62,0
62,0
63,1
63,0
63,2
63,0
65,0
65,0
65,0
68,0
68,0
68,0
68,0
68,0
68,0
68,0
68,0
68,0
68,0
70,0
70,0
70,0
72,0
72,0
72,0
72,0
74,0
74,0
75,0
76,0
78,0
78,1
78,0
78,0
78,0
78,0
80,0
83,0
83,1
83,0
83,0
83,0
84,0
92,0
93,0
93,0
96,0
96,0
98,0
98,0
99,0
99,0
