predation,length
living,25.2
living,26.9
living,26.6
living,25.6
living,25.7
living,25.9
living,27.3
living,25.1
living,30.3
living,25.6
living,26.0
living,24.6
living,25.6
living,25.3
living,23.5
living,24.5
living,23.3
living,26.0
living,23.9
living,27.3
living,25.4
living,25.5
living,21.4
living,23.8
living,25.5
living,19.2
living,20.7
living,19.2
living,25.5
living,20.5
killed,22.4
killed,24.9
killed,24.2
killed,23.6
killed,23.5
killed,20.3
killed,24.5
killed,24.4
killed,20.0
killed,22.7
killed,21.2
killed,27.7
killed,22.7
killed,22.0
killed,24.9
killed,25.6
killed,22.6
killed,26.3
killed,26.0
killed,26.2
killed,16.2
killed,23.9
killed,22.4
killed,24.9
killed,18.2
killed,16.5
killed,23.0
killed,23.0
killed,24.1
killed,21.7
