species,body_mass,brain_mass
recent,54.6,1326
recent,52.5,1380
recent,51.9,1422
recent,56.8,1380
recent,60.9,1366
recent,60.3,1394
recent,57.4,1436
recent,56.3,1422
recent,56.3,1436
recent,57.4,1556
recent,59.7,1556
recent,61.6,1556
recent,62.8,1540
recent,64.7,1525
recent,66.0,1495
recent,67.4,1436
recent,70.8,1450
recent,72.2,1510
recent,79.0,1525
recent,71.5,1525
recent,67.4,1525
recent,64.7,1571
recent,67.4,1603
recent,70.1,1556
recent,70.8,1587
recent,70.8,1619
recent,68.7,1669
recent,64.7,1702
recent,80.6,1881
recent,83.9,1772
neanderthal,63.4,1274
neanderthal,67.4,1299
neanderthal,71.5,1352
neanderthal,68.7,1556
neanderthal,70.1,1754
neanderthal,77.5,1635
neanderthal,80.6,1603
neanderthal,83.9,1556
neanderthal,84.8,1685
